Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
蛮,barbarian,barbarian ,12,1747,2072,1844,1844,776,3,2131,2314,485A,バン    えびす    ,バン,"[蛮行, 蛮人, 野蛮]","[ばんこう, ばんにん, やばん]",,,",barbarian,apple,insect,",",mushi,",,バン    えびす    ,4 2k1KO
蛍,lightning bug,"lightning-bug, firefly ",11,518,1928,1845,1845,1244,2.5,2037,712,3756,ケイ    ほたる    ,ケイ,"[蛍光灯, 蛍光塗料]","[けいこうとう, けいこうとりょう]",蛍,ほたる,",lightning-bug,schoolhouse,owl,crown,insect,",",wakanmuri,mushi,",ほたる,ケイ    ほたる    ,4 2k1KO
掌,manipulate,"manipulate, rule, administer, conduct, palm of hand ",12,801,1341,1846,1846,324,3,1722,1340,3E38,ショウ    てのひら    たなごころ    ,ショウ,"[掌中, 職掌, 車掌]","[しょうちゅう, しょくしょう, しゃしょう]",,,",manipulate,outhouse,small,little,crown,mouth,hand,",",wakanmuri,kuchi,kuti,chiisai,te,tehen,",,ショウ    てのひら    たなごころ    ,4 2k1KO
尚,esteem,"esteem, furthermore, still, yet ",8,184,2236,1847,1847,184,2.5,1447,1332,3E30,ショウ    なお    ,ショウ,"[尚早, 高尚]","[しょうそう, こうしょう]",,,",esteem,small,little,alien,glass canopy,hood,mouth,",",dougamae,kuchi,kuti,chiisai,",,ショウ    なお    Name Readings:  たか    たかし    ないし    なり    ひさ    ひさし    ,4 2k1KO
苗,seedling,"seedling, sapling, shoot ",8,234,278,1848,1848,1823,3,1728,2386,4944,ビョウ    ミョウ    なえ    なわ-    ,ビョウ,"[種苗, 痘苗]","[たねなえ, とうなえ]",苗,なえ,",seedling,flowers,rice field,brains,",",den,ta,kusa,",なえ、なわ*,ビョウ    ミョウ    なえ    なわ-    Name Readings:  ねい    のら    みう    みつ    ,4 2k1KO
芋,potato,potato ,6,1655,645,1849,1849,1543,4,2210,82,3072,ウ    いも    ,,,,芋,いも,",potato,flowers,potato,",",kusa,",いも,ウ    いも    ,4 2k1KO
菊,chrysanthemum,chrysanthemum ,11,927,555,1850,1850,1417,3,1328,508,3546,キク    ,キク,"[菊, 菊花, 白菊]","[きく, きっか, しらぎく]",,,",chrysanthemum,flowers,rice cooker,bound up,rice,",",tsutsumigamae,tutumigamae,kome,kusa,",,キク    ,4 2k1KO
藻,seaweed,"seaweed, duckweed ",19,2035,229,1851,1851,1812,2.5,2097,1682,4174,ソウ    も    ,ソウ,"[藻類, 海藻, 詞藻]","[そうるい, かいそう, しも]",藻,も,",seaweed,flowers,water,water droplets,water pistol,furniture,goods,mouth,tree,wood,mouth3,",",kuchi,kuti,ki,moku,mizu,sanzui,kusa,",も,ソウ    も    ,4 2k1KO
薪,firewood,"fuel, firewood, kindling ",16,1503,249,1852,1852,1753,4,2288,1447,3F45,シン    たきぎ    まき    ,シン,"[薪炭, 薪水]","[しんたん, たきぎみず]",薪,たきぎ,",fuel,firewood,flowers,new,red pepper,stand up,vase,tree,wood,axe,",",ono,ki,moku,tatsu,kusa,",たきぎ,シン    たきぎ    まき    ,4 2k1KO
藩,clan,"clan, enclosure ",18,1912,2152,1853,1853,1511,3,1817,2301,484D,ハン    ,ハン,"[藩主, 廃藩]","[はんしゅ, はいはん]",,,",clan,flowers,water,water droplets,water pistol,dice,animal tracks,drop,rice,rice field,brains,",",tenn,mizu,sanzui,den,ta,kome,kusa,nogome,",,ハン    ,4 2k1KO
華,splendor,"splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous ",10,1581,1151,1854,1854,1012,3,1014,246,325A,カ    ケ    はな    ,カ、ケ*,"[華美, 繁華, 栄華];  [香華, 散華]","[かび, はんか, えいが]; [かおりはな, さんげ]",華,はな,",splendor,flowers,silage,ten,needle,",",juu,kusa,",はな,カ    ケ    はな    Name Readings:  わ    ,4 2k1KO
