Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
鳥,bird,"bird, chicken ",11,1941,1838,1041,1041,340,9,882,1907,443B,チョウ    とり    ,チョウ,"[鳥類, 野鳥, 一石二鳥]","[ちょうるい, やちょう, いっせきにちょう]",鳥,とり,",bird,white,dove,one,tail feathers,",",ichi,iti,shiro,tori,",とり,チョウ    とり    Name Readings:  か    と    とっ    ,2 2k1KO
鳴,chirp,"chirp, cry, bark, sound, ring, echo, honk ",14,1942,1811,1042,1042,2157,9,1143,2668,4C44,メイ    な.く    な.る    な.らす    ,メイ,"[鳴動, 悲鳴, 雷鳴]","[めいどう, ひめい, らいめい]",鳴く; 鳴らす; 鳴る,な.く; な.らす; な.る,",chirp,mouth,bird,",",kuchi,kuti,tori,",な-く、な-る、な-らす,メイ    な.く    な.る    な.らす    Name Readings:  なり    なる    ,2 2k1KO
声,voice,voice ,7,1896,1741,1043,1043,529,9,365,1532,403C,セイ    ショウ    こえ    こわ-    ,セイ、ショウ*,"[声楽, 声援, 名声];  [大音声]","[せいがく, せいえん, めいせい]; [だいおんせい]",声,こえ,",voice,samurai,flag,stick,",",samurai,kabane,",こえ、こわ*,セイ    ショウ    こえ    こわ-    ,2 2k1KO
卵,egg,"egg, ovum, spawn, roe ",7,1422,1915,1044,1044,1141,5,1353,2807,4D71,ラン    たまご    ,ラン,"[卵黄, 鶏卵, 産卵]","[らんおう, けいらん, さんらん]",卵,たまご,",egg,sign of the hare,receipt,stamp,drops,",",fushizukuri,",たまご,ラン    たまご    ,2 2k1KO
匹,equal,"equal, head, counter for small animals, roll of cloth ",4,1695,2171,1045,1045,1801,4,1429,2354,4924,ヒツ    ひき    ,ヒツ,"[匹敵, 匹夫, 馬匹]","[ひってき, ひきおっと, うまひき]",匹,ひき,",equal,box,human legs,",",hitoashi,hitoasi,hako,",ひき,ヒツ    ひき    ,2 2k1KO
犬,dog,dog ,4,238,1685,1046,1046,293,10,1129,756,3824,ケン    いぬ    いぬ-    ,ケン,"[犬歯, 愛犬, 野犬]","[けんし, あいけん, やけん]",犬,いぬ,",dog,large,St. Bernard,drop,",",tenn,ookii,inu,kemono,",いぬ,ケン    いぬ    いぬ-    ,2 2k1KO
馬,horse,horse ,10,1978,1840,1047,1047,336,9,542,2209,474F,バ    うま    うま-    ま    ,バ,"[馬車, 競馬, 乗馬]","[ばしゃ, けいば, じょうば]",馬,うま,",horse,team of horses,",",uma,",うま、ま*,バ    うま    うま-    ま    Name Readings:  た    ばん    め    も    ,2 2k1KO
駐,parking,"stop-over, reside in, resident ",15,1982,1333,1048,1048,367,3,1117,1869,4373,チュウ    ,チュウ,"[駐車, 駐在, 進駐]","[ちゅうしゃ, ちゅうざい, しんちゅう]",,,",stop-over,parking,team of horses,candlestick,lord,drop,king,jewel,ball,",",tenn,tama,uma,",,チュウ    ,2 2k1KO
騒,boisterous,"boisterous, make noise, clamor, disturb, excite ",18,1985,1993,1049,1049,1390,4,994,1689,417B,ソウ    さわ.ぐ    うれい    さわ.がしい    ,ソウ,"[騒動, 騒音, 物騒]","[そうどう, そうおん, ぶっそう]",騒ぐ,さわ.ぐ,",boisterous,team of horses,crotch,insect,",",mata,mushi,uma,",さわ-ぐ,ソウ    さわ.ぐ    うれい    さわ.がしい    ,2 2k1KO
飼,domesticate,"domesticate, raise, keep, feed ",13,1866,124,1050,1050,823,6,1369,1118,3B74,シ    か.う    ,シ,"[飼育, 飼料]","[しいく, しりょう]",飼う,か.う,",domesticate,eat,food,umbrella,good,halo,drop,silver,director,Ken Russel,clothes hanger,coat hanger,one,mouth,",",ichi,iti,tenn,kuchi,kuti,ushitora,kon,shokuhen,",か-う,シ    か.う    Name Readings:  かい    ,2 2k1KO
刺,thorn,"thorn, pierce, stab, prick, sting, calling card ",8,417,1152,1051,1051,935,4,1008,1075,3B49,シ    さ.す    さ.さる    さ.し    さし    とげ    ,シ,"[刺激, 名刺, 風刺]","[しげき, めいし, ふうし]",刺さる; 刺す,さ.さる; さ.す,",thorn,tree,wood,belt,sword,sabre,saber,",",rittou,ki,moku,",さ-す、さ-さる,シ    さ.す    さ.さる    さ.し    さし    とげ    ,2 2k1KO
激,violent,"violent, get excited, enraged, chafe, incite ",16,497,1319,1052,1052,575,5,598,725,3763,ゲキ    はげ.しい    ,ゲキ,"[激動, 感激, 激する]","[げきどう, かんげき, はげする]",激しい,はげ.しい,",violent,water,water droplets,water pistol,white,dove,compass,direction,taskmaster,",",nobun,tomata,kata,mizu,sanzui,shiro,",はげ-しい,ゲキ    はげ.しい    ,2 2k1KO
興,entertain,"entertain, revive, retrieve, interest, pleasure ",16,1426,1598,1053,1053,505,6,647,593,363D,コウ    キョウ    おこ.る    おこ.す    ,コウ、キョウ,"[興行, 復興, 振興];  [興味, 興趣, 余興]","[こうぎょう, ふっこう, しんこう]; [きょうみ, きょうしゅ, よきょう]",興す; 興る,おこ.す; おこ.る,",entertain,staples,same,monks,hood,one,mouth,tool,animal legs,eight,",",ichi,iti,hachi,hati,dougamae,kuchi,kuti,",おこ-る、おこ-す,コウ    キョウ    おこ.る    おこ.す    Name Readings:  おき    おこっ    とも    ,2 2k1KO
奮,stirred up,"stirred up, be invigorated, flourish ",16,565,1808,1054,1054,1656,5,1516,2463,4A33,フン    ふる.う    ,フン,"[奮起, 奮発, 興奮]","[ふんき, ふんぱつ, こうふん]",奮う,ふる.う,",stirred up,large,St. Bernard,turkey,rice field,brains,",",ookii,den,ta,furutori,",ふる-う,フン    ふる.う    ,2 2k1KO
驚,wonder,"wonder, be surprised, frightened, amazed ",22,1987,886,1055,1055,807,4,1015,599,3643,キョウ    おどろ.く    おどろ.かす    ,キョウ,"[驚異, 驚嘆]","[きょうい, きょうたん]",驚かす; 驚く,おどろ.かす; おどろ.く,",wonder,awe,flowers,phrase,bound up,mouth,taskmaster,team of horses,",",tsutsumigamae,tutumigamae,kuchi,kuti,nobun,tomata,kusa,uma,",おどろ-く、おどろ-かす,キョウ    おどろ.く    おどろ.かす    ,2 2k1KO
至,climax,"climax, arrive, proceed, reach, attain, result in ",6,753,1947,1056,1056,250,5,1024,1108,3B6A,シ    いた.る    ,シ,"[至当, 夏至, 冬至]","[しとう, げし, とうじ]",至る,いた.る,",climax,wall,one,ceiling,elbow,soil,dirt,ground,",",ichi,iti,mu,tsuchi,tuti,itaru,",いた-る,シ    いた.る    Name Readings:  のぶ    のり    みち    よし    ,2 2k1KO
致,doth,"doth, do, send, forward, cause, exert, incur, engage ",10,756,1997,1057,1057,251,4,838,1841,4357,チ    いた.す    ,チ,"[誘致, 合致, 風致]","[ゆうち, がっち, ふうち]",致す,いた.す,",doth,climax,wall,one,ceiling,elbow,soil,dirt,ground,taskmaster,",",ichi,iti,mu,tsuchi,tuti,nobun,tomata,itaru,",いた-す,チ    いた.す    ,2 2k1KO
到,arrival,"arrival, proceed, reach, attain, result in ",8,755,526,1058,1058,940,4,1050,2068,457E,トウ    いた.る    ,トウ,"[到着, 到底, 周到]","[とうちゃく, とうてい, しゅうとう]",,,",arrival,climax,wall,one,ceiling,elbow,soil,dirt,ground,sword,sabre,saber,",",ichi,iti,rittou,mu,tsuchi,tuti,itaru,",,トウ    いた.る    ,2 2k1KO
倒,overthrow,"overthrow, fall, collapse, drop, break down ",10,980,527,1059,1059,941,4,799,2035,455D,トウ    たお.れる    -だお.れ    たお.す    ,トウ,"[倒産, 圧倒, 傾倒]","[とうさん, あっとう, けいとう]",倒す; 倒れる,たお.す; たお.れる,",overthrow,person,arrival,climax,wall,one,ceiling,elbow,soil,dirt,ground,sword,sabre,saber,",",ichi,iti,hito,ninben,rittou,mu,tsuchi,tuti,itaru,",たお-れる、たお-す,トウ    たお.れる    -だお.れ    たお.す    ,2 2k1KO
債,bond,"bond, loan, debt ",13,1544,767,1060,1060,833,3,860,976,3A44,サイ    ,サイ,"[債務, 負債, 公債]","[さいむ, ふさい, こうさい]",,,",bond,person,blame,grow up,shellfish,clam,oyster,eye,animal legs,eight,",",hito,ninben,hachi,hati,me,kaihen,kogai,",,サイ    ,2 2k1KO
斜,diagonal,"diagonal, slanting, oblique ",11,1662,2066,1061,1061,999,4,1572,1176,3C50,シャ    なな.め    はす    ,シャ,"[斜面, 斜線, 傾斜]","[しゃめん, しゃせん, けいしゃ]",斜め,なな.め,",diagonal,scales,too much,umbrella,potato,small,mmeasuring cup,big dipper,The Plough,drop,ten,needle,",",tenn,juu,chiisai,tomasu,",なな-め,シャ    なな.め    はす    ,2 2k1KO
傾,lean,"lean, incline, tilt, trend, wane, sink, ruin, bias ",13,1011,1756,1062,1062,1917,4,944,683,3739,ケイ    かたむ.く    かたむ.ける    かたぶ.く    かた.げる    かし.げる    ,ケイ,"[傾斜, 傾倒, 傾向]","[けいしゃ, けいとう, けいこう]",傾く; 傾ける,かたむ.く; かたむ.ける,",lean,change,person,about that time,spoon,sitting on the ground,head,page,one,ceiling,drop,shellfish,clam,oyster,eye,animal legs,eight,",",ichi,iti,tenn,hito,ninben,hachi,hati,saji,me,kaihen,kogai,oogai,peeji,",かたむ-く、かたむ-ける,ケイ    かたむ.く    かたむ.ける    かたぶ.く    かた.げる    かし.げる    ,2 2k1KO
坂,slope,"slope, incline, hill ",7,723,1233,1063,1063,375,8,777,1008,3A64,ハン    さか    ,ハン,[急坂],[きゅうさか],坂,さか,",slope,soil,dirt,ground,anti-,demonstration,cliff,crotch,",",gandare,mata,tsuchi,tuti,",さか,ハン    さか    Name Readings:  か    ざ    ,2 2k1KO
狭,cramped,"cramped, narrow, contract, tight ",9,1266,291,1064,1064,1933,4,1090,589,3639,キョウ    コウ    せま.い    せば.める    せば.まる    さ    ,キョウ,"[狭量, 広狭, 偏狭]","[きょうりょう, こうきょう, へんきょう]",狭まる; 狭める; 狭い,せば.まる; せば.める; せま.い,",cramped,pack of wild dogs,scissors,husband,horns,",",inu,kemono,",せま-い、せば-める、せば-まる,キョウ    コウ    せま.い    せば.める    せば.まる    さ    Name Readings:  はざ    ,2 2k1KO
徐,gradually,"gradually, slowly, deliberately, gently ",10,1659,1512,1065,1065,997,3,1605,1311,3D79,ジョ    おもむ.ろに    ,ジョ,"[徐行, 徐々に]","[じょこう, じょじょに]",,,",gradually,Nelson,column,going,line,scales,too much,umbrella,potato,small,",",chiisai,gyouninben,gyougamae,",,ジョ    おもむ.ろに    ,2 2k1KO
硬,stiff,"stiff, hard ",12,695,864,1066,1066,891,3,1255,883,3945,コウ    かた.い    ,コウ,"[硬度, 硬貨, 生硬]","[こうど, こうか, なまこう]",硬い,かた.い,",stiff,stone,rock,grow late,Ameratasu,one,ceiling,sun,tucked under the arm,",",ichi,iti,nichi,jitsu,ishi,",かた-い,コウ    かた.い    ,2 2k1KO
軟,soft,soft ,11,470,2064,1067,1067,689,2.5,1393,2148,4670,ナン    やわ.らか    やわ.らかい    ,ナン,"[軟化, 軟弱, 硬軟]","[なんか, なんじゃく, こうなん]",軟らか; 軟らかい,やわ.らか; やわ.らかい,",soft,car,lack,yawn,",",akubi,kuruma,",やわ-らか、やわ-らかい,ナン    やわ.らか    やわ.らかい    ,2 2k1KO
柔,tender,"tender, weakness, gentleness, softness ",9,1226,1007,1068,1068,688,4,1226,1254,3D40,ジュウ    ニュウ    やわ.らか    やわ.らかい    やわ    やわ.ら    ,ジュウ、ニュウ,"[柔軟, 柔道, 懐柔];  [柔和, 柔弱]","[じゅうなん, じゅうどう, かいじゅう]; [にゅうわ, じゅうじゃく]",柔らか; 柔らかい,やわ.らか; やわ.らかい,",tender,halberd,beforehand,tree,wood,",",ki,moku,",やわ-らか、やわ-らかい,ジュウ    ニュウ    やわ.らか    やわ.らかい    やわ    やわ.ら    Name Readings:  とお    ,2 2k1KO
緊,tense,"tense, solid, hard, reliable, tight ",15,1374,877,1069,1069,2035,3,872,623,365B,キン    ,キン,"[緊張, 緊密, 緊急]","[きんちょう, きんみつ, きんきゅう]",,,",tense,loincloth,retainer,slave,crotch,thread,spiderman,",",mata,ito,shin,omi,",,キン    ,2 2k1KO
張,lengthen,"lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent) ",11,1921,66,1070,1070,2020,6,347,1885,4425,チョウ    は.る    -は.り    -ば.り    ,チョウ,"[張力, 拡張, 主張]","[ちょうりょく, かくちょう, しゅちょう]",張る,は.る,",lengthen,bow,long,",",yumi,nagai,",は-る,チョウ    は.る    -は.り    -ば.り    Name Readings:  はり    わり    ,2 2k1KO
衝,collide,"collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick ",15,1680,1633,1071,1071,1567,3,1001,1371,3E57,ショウ    つ.く    ,ショウ,"[衝突, 衝動, 折衝]","[しょうとつ, しょうどう, せっしょう]",,,",collide,boulevard,going,heavy,thousand,ri,computer,",",gyougamae,sato,",,ショウ    つ.く    ,2 2k1KO
突,stab,"stab, protruding, thrusting, thrust, pierce, prick ",8,1319,1675,1072,1072,1564,4,507,2113,464D,トツ    カ    つ.く    ,トツ,"[突然, 突端, 衝突]","[とつぜん, とったん, しょうとつ]",突く,つ.く,",stab,hole,house,human legs,large,St. Bernard,",",hitoashi,hitoasi,ookii,ukanmuri,ana,",つ-く,トツ    カ    つ.く    ,2 2k1KO
触,contact,"contact, touch, feel, hit, proclaim, announce, conflict ",13,1813,1864,1073,1073,344,4,938,1418,3F28,ショク    ふ.れる    さわ.る    さわ    ,ショク,"[触媒, 触発, 接触]","[しょくばい, しょくはつ, せっしょく]",触る; 触れる,さわ.る; ふ.れる,",contact,angle,bound up,glass canopy,hood,walking cane,stick,two,insect,",",ni,dougamae,tsutsumigamae,tutumigamae,mushi,tsuno,",ふ-れる、さわ-る,ショク    ふ.れる    さわ.る    さわ    ,2 2k1KO
壁,wall,"wall, lining (stomach), fence ",16,1500,851,1074,1074,1466,4,1012,2485,4A49,ヘキ    かべ    ,ヘキ,"[壁面, 壁画, 岸壁]","[へきめん, へきが, がんぺき]",壁,かべ,",wall,ketchup,flag,mouth,spicy,stand up,vase,ten,needle,soil,dirt,ground,",",juu,kuchi,kuti,tsuchi,tuti,kabane,tatsu,karai,",かべ,ヘキ    かべ    ,2 2k1KO
避,evade,"evade, avoid, avert, ward off, shirk, shun ",15,1501,853,1075,1075,1469,4,810,2338,4872,ヒ    さ.ける    よ.ける    ,ヒ,"[避難, 逃避, 不可避]","[ひなん, とうひ, ふかひ]",避ける,さ.ける,",evade,ketchup,flag,mouth,spicy,stand up,vase,ten,needle,road,",",juu,kuchi,kuti,kabane,tatsu,karai,shinnyou,",さ-ける,ヒ    さ.ける    よ.ける    ,2 2k1KO
軍,army,"army, force, troops, war, battle ",9,301,1522,1076,1076,583,7,307,677,3733,グン    ,グン,"[軍隊, 軍備, 空軍]","[ぐんたい, ぐんび, くうぐん]",,,",army,chariot,crown,vehicle,car,",",wakanmuri,kuruma,",,グン    ,2 2k1KO
隊,regiment,"regiment, party, company, squad ",12,1306,1773,1077,1077,586,7,533,1758,4262,タイ    ,タイ,"[隊列, 軍隊, 部隊]","[たいれつ, ぐんたい, ぶたい]",,,",regiment,pinnacle,parthenon,acropolis,animal horns,sow,pig,wart hog,regimental mascot,",",buta,inoko,kozato,",,タイ    ,2 2k1KO
墜,crash,"crash, fall (down) ",14,1307,2009,1078,1078,2211,3,1619,1918,4446,ツイ    ,ツイ,"[墜落, 墜死, 撃墜]","[ついらく, ついし, げきつい]",,,",crash,regiment,pinnacle,parthenon,acropolis,animal horns,sow,pig,wart hog,regimental mascot,soil,dirt,ground,",",tsuchi,tuti,buta,inoko,kozato,",,ツイ    ,2 2k1KO
兵,soldier,"soldier, private, troops, army, warfare, strategy, tactics ",7,1331,1773,1079,1079,907,7,468,2472,4A3C,ヘイ    ヒョウ    つわもの    ,ヘイ、ヒョウ,"[兵器, 兵隊, 撤兵];  [兵糧, 雑兵]","[へいき, へいたい, てっぺい]; [ひょうろう, ざつへい]",,,",soldier,hill,axe,one,floor,animal legs,eight,",",ichi,iti,hachi,hati,ono,",,ヘイ    ヒョウ    つわもの    Name Readings:  へ    ,2 2k1KO
核,nucleus,"nucleus, core, kernel ",10,1520,1537,1080,1080,2161,2.5,729,325,334B,カク    ,カク,"[核心, 核反応, 結核]","[かくしん, かくはんのう, けっかく]",,,",nucleus,tree,wood,sign of the hog,acorn,top hat,",",nabebuta,ki,moku,",,カク    ,2 2k1KO
武,warrior,"warrior, military, chivalry, arms ",8,377,22,1081,1081,111,6,433,2430,4970,ブ    ム    たけ.し    ,ブ、ム,"[武力, 武士, 文武];  [武者人形, 荒武者]","[ぶりょく, ぶし, ぶんぶ]; [むしゃにんぎょう, あらむしゃ]",,,",warrior,one,arrow,stop,footprint,",",ichi,iti,shikigamae,sikigamae,tomeru,",,ブ    ム    たけ.し    Name Readings:  う    お    たけし    たけん    ん    ,2 2k1KO
銃,gun,"gun, arms ",14,762,918,1082,1082,1057,2.5,1049,1260,3D46,ジュウ    ,ジュウ,"[銃砲, 銃弾, 小銃]","[じゅうほう, じゅうだん, しょうじゅう]",,,",gun,metal,gold,allot,infant,toddler,top hat,elbow,human legs,",",nabebuta,hitoashi,hitoasi,mu,kane,",,ジュウ    ,2 2k1KO
充,allot,"allot, fill ",6,761,917,1083,1083,1056,2.5,933,1250,3D3C,ジュウ    あ.てる    み.たす    ,ジュウ,"[充実, 充電, 補充]","[じゅうじつ, じゅうでん, ほじゅう]",充てる,あ.てる,",allot,infant,toddler,top hat,elbow,human legs,",",nabebuta,hitoashi,hitoasi,mu,",あ-てる,ジュウ    あ.てる    み.たす    Name Readings:  あつ    のぶ    まさ    みち    みつ    よし    ,2 2k1KO
弾,bullet,"bullet, twang, flip, snap ",12,1931,1861,1084,1084,1075,4,845,1824,4346,ダン    タン    ひ.く    -ひ.き    はず.む    たま    はじ.く    はじ.ける    ただ.す    はじ.きゆみ    ,ダン,"[弾力, 弾圧, 爆弾]","[だんりょく, だんあつ, ばくだん]",弾; 弾む; 弾く,たま; はず.む; ひ.く,",bullet,bow,simple,owl,rice field,brains,ten,needle,",",juu,yumi,den,ta,",ひ-く、はず-む、たま,ダン    タン    ひ.く    -ひ.き    はず.む    たま    はじ.く    はじ.ける    ただ.す    はじ.きゆみ    ,2 2k1KO
丸,round,"round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away ",3,44,1861,1085,1085,12,9,596,437,345D,ガン    まる    まる.める    まる.い    ,ガン,"[丸薬, 弾丸, 砲丸]","[がんやく, だんがん, ほうがん]",丸; 丸い; 丸める,まる; まる.い; まる.める,",round,drop,nine,baseball,",",tenn,",まる、まる-い、まる-める,ガン    まる    まる.める    まる.い    Name Readings:  ま    わ    わに    ,2 2k1KO
攻,aggression,"aggression, attack ",7,330,116,1086,1086,1045,4,579,868,3936,コウ    せ.める    ,コウ,"[攻守, 攻撃, 専攻]","[こうしゅ, こうげき, せんこう]",攻める,せ.める,",aggression,craft,taskmaster,",",takumi,nobun,tomata,",せ-める,コウ    せ.める    Name Readings:  おさむ    ,2 2k1KO
撃,beat,"beat, attack, defeat, conquer ",15,709,1640,1087,1087,1026,4,438,724,3762,ゲキ    う.つ    ,ゲキ,"[撃退, 攻撃, 打撃]","[げきたい, こうげき, だげき]",撃つ,う.つ,",beat,tank,car,cruise missile,missile,wind,crotch,hand,",",tsukue,tukue,mata,te,tehen,rumata,kuruma,kaze,",う-つ,ゲキ    う.つ    ,2 2k1KO
爆,bomb,"bomb, burst open, pop, split ",19,1802,319,1088,1088,1347,4,569,2252,477A,バク    は.ぜる    ,バク,"[爆発, 爆弾, 原爆]","[ばくはつ, ばくだん, げんばく]",,,",bomb,fire,outburst,strung together,salad,animal legs,eight,grains of rice,",",hachi,hati,mizu,sanzui,hi,renga,rekka,",,バク    は.ぜる    ,2 2k1KO
暴,outburst,"outburst, rave, fret, force, violence, cruelty, outrage ",15,1801,318,1089,1089,1346,6,714,2567,4B3D,ボウ    バク    あば.く    あば.れる    ,ボウ、バク*,"[暴言, 横暴, 乱暴];  [暴露]","[ぼうげん, おうぼう, らんぼう]; [ばくろ]",暴く; 暴れる,あば.く; あば.れる,",outburst,sun,day,strung together,salad,animal legs,eight,grains of rice,",",hachi,hati,nichi,jitsu,mizu,sanzui,",あば-く、あば-れる,ボウ    バク    あば.く    あば.れる    ,2 2k1KO
襲,attack,"attack, advance on, succeed to, pile, heap ",22,2025,1763,1090,1090,1849,4,1142,1239,3D31,シュウ    おそ.う    かさ.ね    ,シュウ,"[襲撃, 襲名, 世襲]","[しゅうげき, しゅうめい, せしゅう]",襲う,おそ.う,",attack,old dragon,vase,stand up,moon,month,flesh,part of the body,slingshot,catapult,snake,self,three,cloth,clothes,clothing,garment,dragon*,",",onore,tsuki,getsu,tatsu,koromo,ryuu,tatsu,",おそ-う,シュウ    おそ.う    かさ.ね    Name Readings:  そい    ,2 2k1KO
絶,discontinue,"discontinue, beyond, sever, cut off, abstain, interrupt, suppress ",12,1754,1688,1091,1091,1271,6,710,1572,4064,ゼツ    た.える    た.やす    た.つ    ,ゼツ,"[絶妙, 絶食, 断絶]","[ぜつみょう, ぜっしょく, だんぜつ]",絶える; 絶つ; 絶やす,た.える; た.つ; た.やす,",discontinue,thread,spiderman,colour,color,bound up,mosaic,",",tsutsumigamae,tutumigamae,ito,iro,",た-える、た-やす、た-つ,ゼツ    た.える    た.やす    た.つ    ,2 2k1KO
滅,destroy,"destroy, ruin, overthrow, perish ",13,365,579,1092,1092,1149,3,1165,2671,4C47,メツ    ほろ.びる    ほろ.ぶ    ほろ.ぼす    ,メツ,"[滅亡, 消滅, 絶滅]","[めつぼう, しょうめつ, ぜつめつ]",滅びる; 滅ぼす,ほろ.びる; ほろ.ぼす,",destroy,water,water droplets,water pistol,march,fire,",",hoko,mizu,sanzui,hi,renga,rekka,",ほろ-びる、ほろ-ぼす,メツ    ほろ.びる    ほろ.ぶ    ほろ.ぼす    ,2 2k1KO
防,ward off,"ward off, defend, protect, resist ",7,1302,1309,1093,1093,174,6,444,2579,4B49,ボウ    ふせ.ぐ    ,ボウ,"[防備, 堤防, 予防]","[ぼうび, ていぼう, よぼう]",防ぐ,ふせ.ぐ,",ward off,pinnacle,parthenon,acropolis,compass,direction,",",kata,kozato,",ふせ-ぐ,ボウ    ふせ.ぐ    Name Readings:  あた    う    ほう    ,2 2k1KO
妨,disturb,"disturb, prevent, hamper, obstruct ",7,491,1312,1094,1094,1882,3,1518,2562,4B38,ボウ    さまた.げる    ,ボウ,[妨害],[ぼうがい],妨げる,さまた.げる,",disturb,compass,direction,woman,",",onna,kata,",さまた-げる,ボウ    さまた.げる    ,2 2k1KO
嫌,dislike,"dislike, detest, hate ",13,1598,1201,1095,1095,2058,2.5,1252,747,3779,ケン    ゲン    きら.う    きら.い    いや    ,ケン、ゲン*,"[嫌悪, 嫌疑];  [機嫌]","[けんお, けんぎ]; [きげん]",嫌; 嫌う,いや; きら.う,",dislike,woman,concurrently,animal horns,rake,",",onna,",きら-う、いや,ケン    ゲン    きら.う    きら.い    いや    ,2 2k1KO
撤,remove,"remove, withdraw, disarm, dismantle, reject, exclude ",15,760,467,1096,1096,2187,2.5,1083,1991,4531,テツ    ,テツ,"[撤去, 撤回, 撤兵]","[てっきょ, てっかい, てっぺい]",,,",remove,finger,fingers,borstal,bring up,infant,toddler,top hat,elbow,moon,month,flesh,part of the body,taskmaster,",",nabebuta,mu,te,tehen,nobun,tomata,tsuki,getsu,",,テツ    ,2 2k1KO
徹,penetrate,"penetrate, clear, pierce, strike home, sit up (all night) ",15,886,466,1097,1097,2188,2.5,1017,1990,4530,テツ    ,テツ,"[徹底, 徹夜, 貫徹]","[てってい, てつや, かんてつ]",,,",penetrate,Nelson,column,going,line,borstal,bring up,infant,toddler,top hat,elbow,moon,month,flesh,part of the body,taskmaster,",",nabebuta,mu,gyouninben,nobun,tomata,tsuki,getsu,gyougamae,",,テツ    Name Readings:  あき    つ    てっ    とおる    ,2 2k1KO
底,bottom,"bottom, sole, depth, bottom price, base, kind, sort ",8,1833,155,1098,1098,482,7,826,1956,446C,テイ    そこ    ,テイ,"[底流, 海底, 到底]","[ていりゅう, かいてい, とうてい]",底,そこ,",bottom,cave,calling card,family name,one,floor,",",ichi,iti,madare,uji,",そこ,テイ    そこ    ,2 2k1KO
抵,resist,"resist, reach, touch ",8,1832,154,1099,1099,480,4,1187,1961,4471,テイ    ,テイ,"[抵抗, 抵触, 大抵]","[ていこう, ていしょく, たいてい]",,,",resist,finger,fingers,calling card,family name,one,floor,",",ichi,iti,te,tehen,uji,",,テイ    ,2 2k1KO
抗,confront,"confront, resist, defy, oppose ",7,648,223,1100,1100,1639,4,741,865,3933,コウ    ,コウ,"[抗争, 抗議, 対抗]","[こうそう, こうぎ, たいこう]",,,",confront,finger,fingers,whirlwind,top hat,wind,",",nabebuta,tsukue,tukue,te,tehen,kaze,",,コウ    ,2 2k1KO
敵,enemy,"enemy, foe, opponent ",15,443,158,1101,1101,1122,6,1042,1982,4528,テキ    かたき    かな.う    ,テキ,"[敵, 敵意, 匹敵]","[てき, てきい, ひってき]",敵,かたき,",enemy,antique,vase,stand up,hood,old,tombstone,gravestone,church,ten,needle,mouth,taskmaster,",",dougamae,juu,kuchi,kuti,nobun,tomata,tatsu,",かたき,テキ    かたき    かな.う    ,2 2k1KO
脅,threaten,"threaten, coerce ",10,871,305,1102,1102,1496,3,1305,592,363C,キョウ    おびや.かす    おど.す    おど.かす    ,キョウ,"[脅迫, 脅威]","[きょうはく, きょうい]",脅かす; 脅す; 脅かす,おど.かす; おど.す; おびや.かす,",threaten,triceps,power,muscle,arnold,moon,month,flesh,part of the body,power3,muscle3,arnold3,",",chikara,tikara,tsuki,getsu,",おびや-かす、おど-す、おど-かす,キョウ    おびや.かす    おど.す    おど.かす    ,2 2k1KO
威,intimidate,"intimidate, dignity, majesty, menace, threaten ",9,364,1870,1103,1103,1150,4,1092,50,3052,イ    おど.す    おど.し    おど.かす    ,イ,"[威力, 威圧, 示威]","[いりょく, いあつ, しい]",,,",intimidate,march,women,woman,",",onna,hoko,",,イ    おど.す    おど.し    おど.かす    Name Readings:  いさ    たけ    たけし    ,2 2k1KO
勢,forces,"forces, energy, military strength ",13,1515,1610,1104,1104,1434,6,351,1514,402A,セイ    ゼイ    いきお.い    はずみ    ,セイ,"[勢力, 優勢, 情勢]","[せいりょく, ゆうせい, じょうせい]",勢い,いきお.い,",forces,mini-tractor,rice seedlings,soil,dirt,ground,human legs,fat man,musashimaru,round,nine,baseball,drop,power,muscle,arnold,soil2,dirt2,ground2,",",tenn,hitoashi,hitoasi,chikara,tikara,tsuchi,tuti,",いきお-い,セイ    ゼイ    いきお.い    はずみ    Name Readings:  せ    ,2 2k1KO
姿,figure,"figure, form, shape ",9,474,667,1105,1105,1453,5,483,1083,3B51,シ    すがた    ,シ,"[姿勢, 容姿, 雄姿]","[しせい, ようし, ゆうし]",姿,すがた,",figure,next,ice,lack,yawn,woman,",",nisui,onna,akubi,",すがた,シ    すがた    Name Readings:  しな    ,2 2k1KO
